"text,created_at,favorite_count"
"“RUBIO’S GANG OF 8 BILL WOULD HAVE REWARDED SANCTUARY CITIES HARBORING ILLEGALS” http://t.co/on0rUCv4MG Marco is a politician-he flip flops!,07-07-2015 23:15:37,928"
"Via @limbaugh: “See Trump Told You So” http://t.co/ATsX4mdcGl,07-07-2015 23:25:53,559"
"We must restore the entrepreneurial spirit of our country. A small business boom. Let’s Make America Great Again! https://t.co/u25yI5T7E8,07-07-2015 23:29:50,2311"
"I will be in California this weekend making a speech for Clint Eastwood. Then to Arizona and Vegas. Big crowds. Discussing illegals &amp; more!,07-08-2015 11:22:53,1816"
"Via @Newsmax_Media by @ChrisRuddyNMX: ""Donald Trump and the End of Free Speech"" http://t.co/XU36opl7ZL,07-08-2015 13:30:35,294"
".@ronsirak Thank you for being so fair this morning on @GolfChannel—greatly appreciated.,07-08-2015 13:53:54,287"
".@natalie_gulbis  Thank you for your support this morning on @GolfChannel. Even more importantly play well this week! Say hi to all.,07-08-2015 13:54:17,351"
"Dear @MaraLiasson I greatly appreciate your fairness. My history shows I never disappoint. Looking forward to meeting you soon.,07-08-2015 14:21:31,305"
"Via @Ammoland by Fredy Riehl: “Donald Trump Talks: Gun Control Assault Weapons Gun Free Zones &amp; Self Defense” http://t.co/eLAVFVs6Zm,07-08-2015 14:34:08,297"
"Via @businessinsider by @hunterw: “TRUMP UNLOADS: Hillary Clinton was 'the worst' and is 'extremely bad'” http://t.co/lPGSlczakP,07-08-2015 17:31:33,573"
"Thank you @BrentBozell --- As you know I have been saying this for a long time http://t.co/4UcpdSS8qK,07-08-2015 19:26:29,364"
"Via @mrctv by Ben Graham: ""Border Reports Back Up Trump's 'Rapists' Claim"" http://t.co/4UcpdSS8qK,07-08-2015 19:37:09,649"
"Via @DailyCaller by @samsondunn: “Pastor To Hispanic Congregation Speaks Out On Trump Immigrant Crime Statement” http://t.co/rfWcQ7wcjf,07-08-2015 21:13:35,412"
"Do you believe that highly overrated political pundit  @krauthammer said this is the best Republican field in 35 years. What a dope!,07-09-2015 11:14:56,575"
"Jeb's brother George insisted on a $100000 fee and $20000 for a private jet to speak at a charity for severely wounded vets. Not nice!,07-09-2015 11:25:43,1150"
